,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
5121,2200000.0,0.0,1.0,1.0,10858.0,1320.0,1950.0,8.0,32.0,2017.0,40.59025940000001,-73.9750712,1.6509690621843198,2.348622449025917,217.8298980092798,3,GRAVESEND,29 COMMERCIAL GARAGES                      ,4,7167,94,G9, ,11223,4,G9,0
5122,1250000.0,2.0,0.0,2.0,881.0,1512.0,1899.0,12.0,51.0,2016.0,40.6763263,-73.99753740000001,3.7412864869256466,0.5443881229378011,217.90352798021942,3,CARROLL GARDENS,02 TWO FAMILY DWELLINGS                    ,1,472,37,B1, ,11231,1,B1,1
5123,403750.0,3.0,0.0,3.0,2500.0,3120.0,1899.0,11.0,44.0,2016.0,40.8998157,-73.8553912,4.085728917918449,2.4449757624542476,217.77339781644403,2,WAKEFIELD,03 THREE FAMILY DWELLINGS                  ,1,5068,18,C0, ,10470,1,C0,1
5124,495000.0,1.0,0.0,1.0,2600.0,1120.0,1930.0,7.0,29.0,2017.0,40.716949,-73.75273100000001,1.4855776995596592,2.643330557496273,217.90141671798543,4,HOLLIS,01 ONE FAMILY DWELLINGS                    ,1,10550,35,A1, ,11428,1,A1,0
5125,543000.0,1.0,0.0,1.0,5125.0,1195.0,1950.0,4.0,14.0,2017.0,40.753862,-73.705939,1.4580497764487999,3.7362036531292224,217.85769444350322,4,GLEN OAKS,01 ONE FAMILY DWELLINGS                    ,1,8549,64,A2, ,11040,1,A2,0
5126,270750.0,3.0,0.0,3.0,2000.0,2000.0,1970.0,5.0,22.0,2017.0,40.665029,-73.88331090000001,0.4791089294361612,2.973173829784099,217.78758731540233,3,EAST NEW YORK,03 THREE FAMILY DWELLINGS                  ,1,4311,68,C0, ,11207,1,C0,0
5127,365000.0,1.0,0.0,1.0,1980.0,820.0,1940.0,10.0,40.0,2016.0,40.688062,-73.794833,3.03496149996931,0.7073498179759456,217.92740533072242,4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,12166,10,A2, ,11435,1,A2,1
5128,550000.0,1.0,0.0,1.0,4000.0,1958.0,1925.0,2.0,7.0,2017.0,40.672326,-73.749512,1.2570630441792405,4.162078780719567,217.88317019409732,4,LAURELTON,01 ONE FAMILY DWELLINGS                    ,1,13137,40,A1, ,11413,1,A1,0
5129,700000.0,1.0,0.0,1.0,1494.0,1863.0,1945.0,4.0,15.0,2017.0,40.58952499999999,-73.96471600000001,1.0855595055809584,3.5504078449127023,217.9183817535083,3,OCEAN PARKWAY-SOUTH,01 ONE FAMILY DWELLINGS                    ,1,7201,51,A9, ,11235,1,A9,0
5130,720000.0,3.0,0.0,3.0,2500.0,2508.0,1925.0,2.0,6.0,2017.0,40.8244409,-73.8219416,1.8969933766992668,4.4295378202737945,217.7741647279227,2,THROGS NECK,03 THREE FAMILY DWELLINGS                  ,1,5562,125,C0, ,10465,1,C0,0
