,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,deucli_k6,deucli_k7,deucli_k8,deucli_k9,deucli_k10,SALE PRICE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE
2347,1,0,1,1800,892,1949,7,31,2017,0.21145239303591268,0.5963875618971031,0.14263773982455882,0.08627235267587342,0.23641719481920712,0.19524955741937633,0.2760478081613246,0.11241011224314723,0.211518097438108,0.11919072968827839,0.19297250955518605,0.06067781134409701,320000.0,3,GERRITSEN BEACH,01 ONE FAMILY DWELLINGS                    ,1,8856,1488,A2, ,11229,1,A2
2348,4,0,4,1620,2406,1931,11,47,2016,0.4356101621701356,0.5102871561873599,0.04450114247864179,0.1646245584110925,0.22460347316317608,0.20638831958544648,0.20739383772635836,0.08301340181170191,0.17157677502691396,0.07786583533812336,0.14610860780630136,0.07411781454868283,2300000.0,3,PROSPECT HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2A,1150,41,C3,4,11217,2,C3
2349,3,0,3,2500,2784,1901,12,51,2016,0.6029020935674367,0.626883300652338,0.06314889230875236,0.17891688904036876,0.3173899722485074,0.1480212451708706,0.11626331849747171,0.17749407564703598,0.2594199091475381,0.04649494339322256,0.05563722068960614,0.1036982011868308,1125000.0,4,WOODSIDE,03 THREE FAMILY DWELLINGS                  ,1,1226,47,C0, ,11377,1,C0
2350,1,0,1,5625,2932,1940,1,2,2017,0.5311533894562359,0.7828819291881359,0.14433943841428032,0.13636315277880126,0.3753524279206139,0.05678567569264334,0.14350425894280364,0.23168016898339297,0.32711184409320593,0.0782432023708004,0.058736202042543754,0.11294645822129816,800000.0,4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS                    ,1,6610,37,A1, ,11367,1,A1
2351,6,0,6,2863,5000,1920,7,28,2017,0.517976582960145,0.5682400127386416,0.027400492563785805,0.16499629724062667,0.27038078202659327,0.17341686043494606,0.16189682348704318,0.12973572769368039,0.21438885513151662,0.043398552812844854,0.10038167135061328,0.07635147307534151,4750000.0,3,WILLIAMSBURG-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,2920,44,C2, ,11211,2,C2
2352,4,2,6,2671,8245,1930,12,52,2016,0.3379214059909259,0.4499691203669727,0.09333212777906251,0.17618952095962392,0.17505079034761079,0.24672159751964393,0.25934641537620456,0.0314294864473831,0.12913113096262646,0.12515021579177715,0.1973810843691877,0.09908438552110164,249374.0,3,BOROUGH PARK,22 STORE BUILDINGS                         ,4,5665,72,K4, ,11220,4,K4
2353,3,0,3,2155,2084,1910,11,46,2016,0.45329061807503024,0.6999978130315583,0.10503507321229558,0.10711380923817203,0.32015893141098273,0.10135619190993957,0.169375802822074,0.17682295263253237,0.2742308017855914,0.03482298481224557,0.08109140972554474,0.05752961023666806,600000.0,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS                  ,1,4136,34,C0, ,11208,1,C0
2354,1,0,1,2267,1576,1987,5,20,2017,0.2660458248748796,0.30328625446949786,0.16633483432813548,0.24971458931302104,0.09065494236656425,0.33286761125508,0.3326668062284711,0.05647413437114085,0.04796752657925545,0.2106834412106675,0.28004713744569015,0.1835260788017725,520000.0,5,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,2907,33,A9, ,10304,1,A9
2355,2,0,2,2600,1533,1955,12,50,2016,0.7953456962545005,0.7735524302190129,0.17401715546259408,0.24469897127135726,0.4304088956159538,0.1390801380566712,0.046422915451001856,0.29106192481744253,0.3703563722641248,0.1439443559419254,0.06746015599598437,0.19992532053725873,479000.0,2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5545,26,B1, ,10465,1,B1
2356,2,0,2,2233,1641,1950,9,39,2016,0.7935410887790368,0.7768744533708514,0.17504687419535087,0.24405043261943252,0.43135707514396915,0.13762712943295594,0.048340322684157985,0.29183310360867654,0.3714653749468728,0.14422324952318602,0.06759477915352097,0.19998882150744673,425000.0,2,THROGS NECK,02 TWO FAMILY DWELLINGS                    ,1,5544,89,B3, ,10465,1,B3
