,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
4911,2650000.0,1.0,0.0,1.0,491.0,1824.0,1910.0,5.0,19.0,2017.0,40.748964,-73.978301,3.370731396099849,1.3156626235719004,218.14737343577085,1,MURRAY HILL,01 ONE FAMILY DWELLINGS                    ,1,893,74,A4, ,10016,1,A4,1
4912,880000.0,1.0,0.0,1.0,6000.0,1909.0,1930.0,10.0,42.0,2016.0,40.755844,-73.794943,1.3284256219134714,3.344136396812385,218.0687630120696,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5429,1,A1, ,11358,1,A1,0
4913,425000.0,1.0,0.0,1.0,2275.0,1234.0,1960.0,1.0,3.0,2017.0,40.587712100000005,-74.09492940000001,4.802314050916177,2.4148586562644847,218.15712870621843,5,GRANT CITY,01 ONE FAMILY DWELLINGS                    ,1,3343,37,A5, ,10305,1,A5,1
4914,1150000.0,4.0,0.0,4.0,2500.0,2800.0,1930.0,11.0,44.0,2016.0,40.7073611,-73.9110686,0.4552262248421715,3.3393853052027143,217.96970475863432,4,RIDGEWOOD,07 RENTALS - WALKUP APARTMENTS             ,2A,3404,30,C3, ,11385,2,C3,0
4915,300000.0,1.0,1.0,2.0,1958.0,1872.0,1930.0,5.0,21.0,2017.0,40.678211,-73.79501599999998,3.2267408795981187,1.1002806689012872,218.09698662081837,4,SO. JAMAICA-BAISLEY PARK,01 ONE FAMILY DWELLINGS                    ,1,12025,58,S1, ,11436,1,S1,1
4916,820000.0,1.0,0.0,1.0,1700.0,1326.0,1925.0,1.0,2.0,2017.0,40.62301970000001,-74.0098872,4.590523612056137,1.8802199073104549,218.15687639129064,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,6198,61,A5, ,11228,1,A5,1
4917,765000.0,2.0,0.0,2.0,2600.0,1622.0,1920.0,5.0,19.0,2017.0,40.62482979999999,-74.09107490000001,3.549383399523628,1.7434910004021915,218.09069647075762,5,GRYMES HILL,02 TWO FAMILY DWELLINGS                    ,1,591,59,B2, ,10301,1,B2,1
4918,1221900.0,2.0,0.0,2.0,3927.0,2648.0,2015.0,2.0,8.0,2017.0,40.75550429999999,-73.7174417,5.017931476542429,3.1644771887929517,218.03012847823655,4,GLEN OAKS,02 TWO FAMILY DWELLINGS                    ,1,8489,560,B2, ,11004,1,B2,1
4919,926607.0,3.0,0.0,3.0,1920.0,2700.0,1910.0,8.0,34.0,2017.0,40.677375,-73.94099299999998,2.5381348731268263,1.8156849307339709,218.01783619677542,3,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS                  ,1,1204,75,C0, ,11213,1,C0,1
4920,180000.0,6.0,0.0,6.0,4061.0,4200.0,1938.0,7.0,30.0,2017.0,40.76937909999999,-73.8986901,2.6763215158980183,1.4499980795751157,217.81039658434622,4,ASTORIA,07 RENTALS - WALKUP APARTMENTS             ,2A,965,22,C2, ,11370,2,C2,1
